"cell_id","surface","known_v_type","parameter","n_replicate","n_interval","n_covered","coverage","coverage_mcse","mean_interval_width","interval_width_mcse","n_study","sigma","sampling_sd","measure"
"meta_v_004","meta_v","vector","mu:(Intercept)",400,400,363,0.9075,0.0144865239101725,0.221461971099838,0.00191507097614061,20,0.25,0.08,"lnRR"
"meta_v_004","meta_v","vector","mu:x",400,400,372,0.93,0.0127573508221731,0.22964528266621,0.00276110283742869,20,0.25,0.08,"lnRR"
"meta_v_004","meta_v","vector","sigma",400,400,349,0.8725,0.0166766116162727,0.161406029498843,0.00117131335703687,20,0.25,0.08,"lnRR"
"meta_v_005","meta_v","vector","mu:(Intercept)",400,400,376,0.94,0.0118743420870379,0.160147229132904,0.000959160461672414,40,0.25,0.08,"lnRR"
"meta_v_005","meta_v","vector","mu:x",400,400,370,0.925,0.0131695671910659,0.162407153779275,0.001340383307082,40,0.25,0.08,"lnRR"
"meta_v_005","meta_v","vector","sigma",400,400,362,0.905,0.0146607469113957,0.118071708467195,0.000615908248729843,40,0.25,0.08,"lnRR"
"meta_v_006","meta_v","vector","mu:(Intercept)",400,400,370,0.925,0.0131695671910659,0.114213387073881,0.000481225687021465,80,0.25,0.08,"lnRR"
"meta_v_006","meta_v","vector","mu:x",400,400,376,0.94,0.0118743420870379,0.115881785704281,0.000693116112756941,80,0.25,0.08,"lnRR"
"meta_v_006","meta_v","vector","sigma",400,400,366,0.915,0.0139440847673843,0.0845015128663181,0.000316179198431803,80,0.25,0.08,"lnRR"
"meta_v_007","meta_v","vector","mu:(Intercept)",400,400,363,0.9075,0.0144865239101725,0.431965184033083,0.00369630083668783,20,0.5,0.08,"lnRR"
"meta_v_007","meta_v","vector","mu:x",400,400,366,0.915,0.0139440847673843,0.448161228417418,0.00594938717057945,20,0.5,0.08,"lnRR"
"meta_v_007","meta_v","vector","sigma",400,400,354,0.885,0.0159510971409493,0.301310139747253,0.00236335471150974,20,0.5,0.08,"lnRR"
"meta_v_008","meta_v","vector","mu:(Intercept)",400,400,375,0.9375,0.0121030729568982,0.307777309635673,0.00182470095144986,40,0.5,0.08,"lnRR"
"meta_v_008","meta_v","vector","mu:x",400,400,376,0.94,0.0118743420870379,0.315379889607891,0.00280844508803559,40,0.5,0.08,"lnRR"
"meta_v_008","meta_v","vector","sigma",400,400,363,0.9075,0.0144865239101725,0.217772330528915,0.00122616713713137,40,0.5,0.08,"lnRR"
"meta_v_009","meta_v","vector","mu:(Intercept)",400,400,370,0.925,0.0131695671910659,0.221366763222664,0.000883885930222572,80,0.5,0.08,"lnRR"
"meta_v_009","meta_v","vector","mu:x",400,400,380,0.95,0.0108972473588517,0.222658814463163,0.00126814393801156,80,0.5,0.08,"lnRR"
