"record_type"	"stage"	"fixture"	"engine"	"check"	"coefficient"	"expected"	"observed"	"status"	"detail"	"solver_status"	"solver_objective"	"max_residual"	"ray"	"t"	"direct_objective"	"compiled_objective"	"direct_delta"	"compiled_delta"	"retained_rows"	"design_columns"	"trials_sum"	"active_weight_sum"	"detector_outcome"	"detector_class"	"warnings"	"error"	"record_id"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000060730087625415763"	"PASS"					"intercept_positive"	"16"	"48.000000674603712"	"48.000000675211012"	"43.841117591244043"	"43.841117591851344"									"s0a2-0020"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"interior_minimum"	"compiled_delta_t1=0.7206870417496658; direct_delta_t1=0.72068704174966491"	"PASS"					"intercept_positive"														"s0a2-0021"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"0"	"4.1588830833596715"	"4.1588830833596715"	"0"	"0"									"s0a2-0022"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"0.5"	"4.3444619050806397"	"4.3444619050806397"	"0.18557882172096818"	"0.18557882172096818"									"s0a2-0023"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000000088817841970012523"	"PASS"					"intercept_negative"	"1"	"4.8795701251093364"	"4.8795701251093373"	"0.72068704174966491"	"0.7206870417496658"									"s0a2-0024"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"2"	"6.7615680662578352"	"6.7615680662578352"	"2.6026849828981637"	"2.6026849828981637"									"s0a2-0025"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"4"	"12.108899567506857"	"12.108899567506857"	"7.9500164841471852"	"7.9500164841471852"									"s0a2-0026"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"8"	"24.002012438237372"	"24.002012438237372"	"  19.8431293548777"	"  19.8431293548777"									"s0a2-0027"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"16"	"48.000000675211012"	"48.000000675211012"	"43.841117591851344"	"43.841117591851344"									"s0a2-0028"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"interior_minimum"	"compiled_delta_t1=0.7206870417496658; direct_delta_t1=0.72068704174966491"	"PASS"					"intercept_negative"														"s0a2-0029"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_positive"	"0"	"4.1588830833596715"	"4.1588830833596715"	"0"	"0"									"s0a2-0030"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_positive"	"0.5"	"4.2826022978403175"	"4.2826022978403175"	"0.12371921448064604"	"0.12371921448064604"									"s0a2-0031"
