seed	estimator	parm	arm	lo	hi	est	msg
900008	ML	sd:sigma:spatial(1 | site)	endpoint@90	0.234127638723028	0.905974243163517	0.453008633720621	NA
900008	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0.234127638723028	0.905974243163517	0.453008633720621	NA
900008	ML	sd:sigma:spatial(1 | site)	tmbprofile	0.234134151603914	0.905964600769969	0.453008633720621	NA
900008	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0	0.476915307195211	9.44525936814683e-06	NA
900008	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0	0.476915307195209	9.44525936814683e-06	NA
900008	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	NA	NA	9.44525936814683e-06	NA
900008	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
900009	ML	sd:sigma:spatial(1 | site)	endpoint@90	0.133389367029621	0.580076278745045	0.284450143438148	NA
900009	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0.133389367029621	0.580076278745045	0.284450143438148	NA
900009	ML	sd:sigma:spatial(1 | site)	tmbprofile	0.133389593897281	0.580065598790908	0.284450143438148	NA
900009	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0.280023465470321	1.00689627641172	0.506833867902117	NA
900009	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0.280023465470321	1.00689627641172	0.506833867902117	NA
900009	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	0.280033086983389	1.00688478267925	0.506833867902117	NA
900009	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
900010	ML	sd:sigma:spatial(1 | site)	endpoint@90	0.444980102664405	1.37180026292593	0.734499575173392	NA
900010	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0.444980102664405	1.37180026292593	0.734499575173392	NA
900010	ML	sd:sigma:spatial(1 | site)	tmbprofile	0.444983065993734	1.37178397841126	0.734499575173392	NA
900010	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0	0.762599749358061	0.261274924255752	NA
900010	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0	0.762599749358061	0.261274924255752	NA
900010	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	NA	NA	0.261274924255752	NA
900010	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
900011	ML	sd:sigma:spatial(1 | site)	endpoint@90	0.0237309335800571	0.660181106674322	0.301447991079236	NA
900011	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0.0237309335800571	0.660181106674322	0.301447991079236	NA
900011	ML	sd:sigma:spatial(1 | site)	tmbprofile	0.0230254704526482	0.660170790839442	0.301447991079236	NA
900011	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0.135262999169809	0.796862015941575	0.369576530157953	NA
900011	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0.135262999169809	0.796862015941575	0.369576530157953	NA
900011	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	0.135257697240383	0.796845004563462	0.369576530157953	NA
900011	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
900012	ML	sd:sigma:spatial(1 | site)	endpoint@90	0.314509369923447	1.08309140806555	0.561797302143272	NA
900012	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0.314509369923447	1.08309140806555	0.561797302143272	NA
900012	ML	sd:sigma:spatial(1 | site)	tmbprofile	0.3145249265189	1.08307355638588	0.561797302143272	NA
900012	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0.187255847179085	1.15270387362749	0.527113117972603	NA
900012	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0.187255847179085	1.15270387362749	0.527113117972603	NA
900012	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	0.187249238745496	1.15271565544541	0.527113117972603	NA
900012	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
