q	nodes_per_axis	evaluation	exact_marginal_loglik	laplace_loglik	exact_mspl_log_objective	laplace_mspl_log_objective	exact_minus_laplace	optimizer_convergence	exact_gradient_max_abs	parameter_linf_from_laplace	exact_gain_over_laplace_point	quadrature_increment
1	41	laplace_mspl_optimum	-116.241190026955	-116.24463427982	-115.814082426346	-115.817526679194	0.00344425286517946	NA	NA	0	0	NA
1	81	laplace_mspl_optimum	-116.241190026955	-116.24463427982	-115.814082426346	-115.817526679194	0.00344425286517946	NA	NA	0	0	0
2	21	laplace_mspl_optimum	-131.320257507397	-131.373676396318	-130.972782923073	-131.026201811926	0.0534188889211578	NA	NA	0	0	NA
2	31	laplace_mspl_optimum	-131.32025750405	-131.373676396318	-130.972782919725	-131.026201811926	0.0534188922686667	NA	NA	0	0	3.34750893671298e-09
2	41	laplace_mspl_optimum	-131.320257504049	-131.373676396318	-130.972782919725	-131.026201811926	0.0534188922689225	NA	NA	0	0	2.55795384873636e-13
1	81	exact_mspl_optimum	-116.243497044438	-116.24463427982	-115.81398982146	-115.817526679194	0.00113723538274257	0	2.00944231519317e-06	0.0153124465101511	9.26048856229045e-05	NA
2	41	exact_mspl_optimum	-131.327072570032	-131.373676396318	-130.971786581612	-131.026201811926	0.0466038262863151	0	1.27322455220569e-05	0.0414155635826055	0.00099633811234412	NA
